1;Алексеев;Тимур;Дмитриевич;15.12.1982;г.Нижний Новгород, ул.Железнодорожная 77, 183;8(946)-927-59-47;teacher-email-1@gmail.com
2;Яковлев;Максим;Валентинович;28.1.1953;г.Нижний Новгород, ул.Ленина 101, 128;8(430)-423-65-72;teacher-email-2@gmail.com
3;Попов;Юрий;Вячеславович;17.11.1974;г.Нижний Новгород, ул.Гагарина 94, 102;8(314)-980-81-17;teacher-email-3@gmail.com
4;Попова;Анастасия;Георгиевна;12.5.1986;г.Нижний Новгород, ул.Восточная 188, 158;8(161)-991-86-72;teacher-email-4@gmail.com
5;Андреев;Виталий;Дмитриевич;13.10.1965;г.Нижний Новгород, ул.Советская 93, 157;8(531)-199-51-71;teacher-email-5@gmail.com
6;Иванова;Виолетта;Егоровна;25.10.1965;г.Нижний Новгород, ул.Мира 167, 96;8(813)-565-76-66;teacher-email-6@gmail.com
7;Павлова;Анна;Александровна;22.2.1954;г.Нижний Новгород, ул.Комсомольская 100, 62;8(726)-355-55-64;teacher-email-7@gmail.com
8;Воробьева;Юлия;Даниловна;5.3.1972;г.Нижний Новгород, ул.Советская 85, 22;8(641)-590-54-22;teacher-email-8@gmail.com
9;Иванова;Виктория;Максимовна;21.6.1957;г.Нижний Новгород, ул.Южная 179, 5;8(930)-555-12-22;teacher-email-9@gmail.com
10;Григорьев;Алексей;Иванович;7.2.1979;г.Нижний Новгород, ул.Школьный 40, 193;8(107)-573-38-17;teacher-email-10@gmail.com
11;Козлова;Ирина;Константиновна;28.2.1965;г.Нижний Новгород, ул.Лесная 58, 32;8(609)-986-99-94;teacher-email-11@gmail.com
12;Козлова;Мария;Ефимовна;13.6.1952;г.Нижний Новгород, ул.Восточная 147, 5;8(526)-817-44-59;teacher-email-12@gmail.com
13;Павлова;Виолетта;Захаровна;9.10.1974;г.Нижний Новгород, ул.Железнодорожная 165, 24;8(436)-715-89-25;teacher-email-13@gmail.com
14;Прохоров;Олег;Александрович;22.10.1956;г.Нижний Новгород, ул.Молодежная 192, 52;8(533)-504-51-26;teacher-email-14@gmail.com
15;Хованский;Евгений;Вячеславович;28.11.1960;г.Нижний Новгород, ул.Школьный 30, 174;8(401)-573-69-67;teacher-email-15@gmail.com
16;Павлова;Маргарита;Григорьевна;14.7.1977;г.Нижний Новгород, ул.Школьная 22, 174;8(909)-722-45-41;teacher-email-16@gmail.com
17;Лебедева;Мария;Алексеевна;15.3.1978;г.Нижний Новгород, ул.Зеленая 30, 46;8(633)-523-10-38;teacher-email-17@gmail.com
18;Богданова;Виктория;Григорьевна;8.11.1952;г.Нижний Новгород, ул.Степная 4, 51;8(705)-267-27-58;teacher-email-18@gmail.com
19;Соколов;Игорь;Кириллович;4.1.1951;г.Нижний Новгород, ул.Юбилейная 156, 40;8(668)-821-31-84;teacher-email-19@gmail.com
20;Кузнецова;Татьяна;Максимовна;11.5.1972;г.Нижний Новгород, ул.Береговая 25, 74;8(147)-791-79-68;teacher-email-20@gmail.com
21;Смирнова;Ольга;Константиновна;19.10.1955;г.Нижний Новгород, ул.Речная 57, 156;8(233)-908-65-69;teacher-email-21@gmail.com
22;Григорьев;Дмитрий;Кириллович;2.10.1957;г.Нижний Новгород, ул.Октябрьская 91, 169;8(405)-644-92-37;teacher-email-22@gmail.com
23;Яковлев;Юрий;Ярославович;4.2.1960;г.Нижний Новгород, ул.Южная 148, 150;8(350)-714-45-12;teacher-email-23@gmail.com
24;Михайлов;Тимур;Константинович;6.12.1974;г.Нижний Новгород, ул.Гагарина 199, 188;8(710)-650-63-51;teacher-email-24@gmail.com
25;Александров;Игорь;Вадимович;13.12.1953;г.Нижний Новгород, ул.Нагорная 169, 36;8(114)-368-83-33;teacher-email-25@gmail.com
26;Леонов;Виталий;Константинович;16.9.1957;г.Нижний Новгород, ул.Гагарина 59, 182;8(275)-529-62-66;teacher-email-26@gmail.com
27;Зайцева;Виолетта;Захаровна;26.12.1966;г.Нижний Новгород, ул.Школьная 140, 68;8(720)-854-12-40;teacher-email-27@gmail.com
28;Васильев;Алексей;Вадимович;21.10.1966;г.Нижний Новгород, ул.Полевая 180, 108;8(918)-346-79-31;teacher-email-28@gmail.com
29;Соколов;Николай;Анатольевич;15.5.1963;г.Нижний Новгород, ул.Пушкина 92, 104;8(230)-855-47-89;teacher-email-29@gmail.com
30;Алексеев;Олег;Антонович;6.11.1964;г.Нижний Новгород, ул.Садовая 93, 13;8(775)-523-42-54;teacher-email-30@gmail.com
31;Соловаьева;Мария;Артемовна;6.7.1952;г.Нижний Новгород, ул.Калинина 81, 29;8(107)-468-42-10;teacher-email-31@gmail.com
32;Григорьев;Евгений;Борисович;8.1.1989;г.Нижний Новгород, ул.Зеленая 63, 132;8(288)-754-26-91;teacher-email-32@gmail.com
33;Соловаьева;Виолетта;Алексеевна;7.7.1986;г.Нижний Новгород, ул.Лесная 191, 143;8(215)-647-54-93;teacher-email-33@gmail.com
34;Петров;Игорь;Валентинович;7.3.1984;г.Нижний Новгород, ул.Дачная 84, 50;8(949)-163-63-50;teacher-email-34@gmail.com
35;Соловаьева;Екатерина;Алексеевна;13.7.1979;г.Нижний Новгород, ул.Дачная 187, 199;8(621)-384-11-14;teacher-email-35@gmail.com
36;Смирнов;Алексей;Александрович;19.9.1983;г.Нижний Новгород, ул.Гагарина 156, 15;8(620)-314-98-83;teacher-email-36@gmail.com
37;Виноградова;Ольга;Ефимовна;6.3.1977;г.Нижний Новгород, ул.Дачная 46, 162;8(288)-527-22-48;teacher-email-37@gmail.com
38;Воробьева;Татьяна;Антоновна;14.4.1990;г.Нижний Новгород, ул.Лесная 174, 56;8(710)-642-82-49;teacher-email-38@gmail.com
39;Алексеев;Артем;Денисович;19.10.1954;г.Нижний Новгород, ул.Первомайская 173, 154;8(192)-187-56-94;teacher-email-39@gmail.com
40;Давыдов;Михаил;Валентинович;12.12.1990;г.Нижний Новгород, ул.Полевая 36, 15;8(898)-506-27-82;teacher-email-40@gmail.com
41;Соловаьева;Ирина;Максимовна;21.3.1970;г.Нижний Новгород, ул.Зеленая 187, 43;8(630)-534-17-34;teacher-email-41@gmail.com
42;Воробьева;Юлия;Алексеевна;4.4.1978;г.Нижний Новгород, ул.Кирова 17, 74;8(805)-986-69-34;teacher-email-42@gmail.com
43;Волкова;Наталия;Егоровна;11.5.1986;г.Нижний Новгород, ул.Нагорная 56, 141;8(665)-913-79-80;teacher-email-43@gmail.com
44;Прохоров;Николай;Александрович;27.10.1976;г.Нижний Новгород, ул.Колхозная 59, 87;8(428)-648-22-89;teacher-email-44@gmail.com
45;Воробьева;Яна;Антоновна;1.6.1989;г.Нижний Новгород, ул.Школьная 48, 106;8(144)-637-73-41;teacher-email-45@gmail.com
46;Смирнова;Анжелика;Александровна;5.4.1989;г.Нижний Новгород, ул.Пролетарская 23, 18;8(271)-928-98-40;teacher-email-46@gmail.com
47;Алексеев;Руслан;Алексеевич;10.10.1956;г.Нижний Новгород, ул.Солнечная 179, 31;8(481)-571-14-84;teacher-email-47@gmail.com
48;Воробьева;Кристина;Богдановна;20.1.1970;г.Нижний Новгород, ул.Солнечная 167, 93;8(954)-899-27-29;teacher-email-48@gmail.com
49;Яковлев;Роман;Антонович;23.6.1968;г.Нижний Новгород, ул.Первомайская 37, 72;8(434)-326-68-18;teacher-email-49@gmail.com
50;Хованский;Владимир;Валерьевич;10.10.1955;г.Нижний Новгород, ул.Зеленая 169, 185;8(781)-962-91-73;teacher-email-50@gmail.com
