0;Хованский;Дмитрий;Игоревич;18;бюджетная;9.12.1992;г.Нижний Новгород, ул.Октябрьская 29, 87;8(675)-701-15-99;student-email-0@gmail.com
1;Семёнов;Виталий;Алексеевич;3;платная;17.11.1992;г.Нижний Новгород, ул.Восточная 39, 42;8(973)-968-28-48;student-email-1@gmail.com
2;Степанов;Игорь;Борисович;19;платная;28.10.1991;г.Нижний Новгород, ул.Первомайская 83, 10;8(351)-976-69-74;student-email-2@gmail.com
3;Морозова;Анна;Ефимовна;16;платная;22.11.1992;г.Нижний Новгород, ул.Пионерская 138, 22;8(149)-868-76-87;student-email-3@gmail.com
4;Лебедев;Роман;Андреевич;2;бюджетная;19.1.1990;г.Нижний Новгород, ул.Степная 96, 55;8(650)-748-48-24;student-email-4@gmail.com
5;Голубева;Анна;Алексеевна;16;платная;10.1.1997;г.Нижний Новгород, ул.Восточная 186, 68;8(219)-699-53-47;student-email-5@gmail.com
6;Семенова;Елена;Игоревна;16;платная;10.12.1998;г.Нижний Новгород, ул.Луговая 101, 124;8(718)-249-47-52;student-email-6@gmail.com
7;Михайлов;Дмитрий;Кириллович;12;платная;22.12.1993;г.Нижний Новгород, ул.Рабочая 68, 176;8(243)-954-16-19;student-email-7@gmail.com
8;Воробьева;Ольга;Олеговна;3;бюджетная;8.5.1990;г.Нижний Новгород, ул.Первомайская 38, 7;8(724)-193-48-39;student-email-8@gmail.com
9;Давыдов;Андрей;Иванович;2;платная;2.7.1995;г.Нижний Новгород, ул.Октябрьская 13, 106;8(587)-362-55-43;student-email-9@gmail.com
10;Соколов;Виталий;Дмитриевич;3;платная;17.10.1998;г.Нижний Новгород, ул.Речная 69, 165;8(947)-628-14-67;student-email-10@gmail.com
11;Козлова;Екатерина;Максимовна;6;платная;14.5.1998;г.Нижний Новгород, ул.Озерная 181, 153;8(442)-111-50-58;student-email-11@gmail.com
12;Морозова;Анна;Кузьминична;16;бюджетная;6.2.1997;г.Нижний Новгород, ул.Речная 83, 109;8(691)-993-21-55;student-email-12@gmail.com
13;Григорьев;Артем;Иванович;0;бюджетная;5.4.1998;г.Нижний Новгород, ул.Нагорная 47, 39;8(399)-970-48-43;student-email-13@gmail.com
14;Лебедева;Анжелика;Игоревна;5;бюджетная;14.2.1996;г.Нижний Новгород, ул.Рабочая 66, 94;8(193)-712-67-71;student-email-14@gmail.com
15;Семенова;Виктория;Егоровна;18;бюджетная;19.4.1990;г.Нижний Новгород, ул.Лесная 80, 14;8(123)-984-92-25;student-email-15@gmail.com
16;Семёнов;Артем;Борисович;4;платная;14.10.1999;г.Нижний Новгород, ул.Железнодорожная 154, 62;8(186)-387-24-26;student-email-16@gmail.com
17;Козлова;Александра;Игоревна;16;платная;12.4.1998;г.Нижний Новгород, ул.Береговая 163, 156;8(621)-565-95-38;student-email-17@gmail.com
18;Попова;Александра;Артемовна;0;бюджетная;12.8.1994;г.Нижний Новгород, ул.Школьная 153, 164;8(204)-821-16-37;student-email-18@gmail.com
19;Фёдоров;Алексей;Алексеевич;18;бюджетная;26.2.1995;г.Нижний Новгород, ул.Лесная 75, 193;8(686)-916-42-83;student-email-19@gmail.com
20;Григорьев;Тимур;Александрович;11;платная;20.4.1993;г.Нижний Новгород, ул.Школьный 146, 99;8(972)-624-64-41;student-email-20@gmail.com
21;Алексеев;Максим;Анатольевич;19;бюджетная;16.1.1994;г.Нижний Новгород, ул.Победы 94, 90;8(215)-316-57-30;student-email-21@gmail.com
22;Григорьев;Руслан;Ярославович;19;платная;5.12.1991;г.Нижний Новгород, ул.Ленина 16, 136;8(929)-645-38-85;student-email-22@gmail.com
23;Лебедев;Александр;Борисович;4;платная;23.2.1996;г.Нижний Новгород, ул.Юбилейная 137, 34;8(504)-935-55-28;student-email-23@gmail.com
24;Волкова;Анна;Ефимовна;15;бюджетная;6.11.1996;г.Нижний Новгород, ул.Гагарина 32, 21;8(434)-905-18-30;student-email-24@gmail.com
25;Кузнецова;Александра;Олеговна;6;платная;7.5.1997;г.Нижний Новгород, ул.Комсомольская 105, 85;8(409)-340-85-13;student-email-25@gmail.com
26;Лебедева;Виолетта;Игоревна;5;бюджетная;8.7.1990;г.Нижний Новгород, ул.Победы 132, 164;8(879)-113-97-23;student-email-26@gmail.com
27;Козлова;Александра;Григорьевна;6;бюджетная;13.8.1999;г.Нижний Новгород, ул.Чапаева 125, 151;8(897)-378-36-62;student-email-27@gmail.com
28;Васильева;Анастасия;Георгиевна;13;бюджетная;25.9.1993;г.Нижний Новгород, ул.Школьная 102, 28;8(765)-950-97-65;student-email-28@gmail.com
29;Морозова;Виолетта;Дмитриевна;9;бюджетная;21.10.1992;г.Нижний Новгород, ул.Садовая 117, 124;8(315)-903-60-53;student-email-29@gmail.com
30;Семёнов;Виталий;Борисович;10;платная;20.1.1991;г.Нижний Новгород, ул.Дачная 134, 32;8(662)-840-55-30;student-email-30@gmail.com
31;Хованский;Алексей;Антонович;5;бюджетная;17.2.1996;г.Нижний Новгород, ул.Мира 184, 14;8(638)-998-95-52;student-email-31@gmail.com
32;Соловаьева;Александра;Алексеевна;10;бюджетная;11.4.1996;г.Нижний Новгород, ул.Набережная 35, 22;8(330)-832-35-32;student-email-32@gmail.com
33;Иванов;Виталий;Алексеевич;17;бюджетная;19.11.1991;г.Нижний Новгород, ул.Северная 111, 6;8(861)-977-54-90;student-email-33@gmail.com
34;Смирнова;Маргарита;Антоновна;13;бюджетная;14.9.1990;г.Нижний Новгород, ул.Ленина 114, 38;8(270)-132-33-38;student-email-34@gmail.com
35;Васильева;Татьяна;Георгиевна;15;бюджетная;14.11.1997;г.Нижний Новгород, ул.Комсомольская 191, 22;8(325)-832-69-77;student-email-35@gmail.com
36;Лебедева;Валерия;Ждановна;10;платная;26.7.1997;г.Нижний Новгород, ул.Южная 74, 23;8(284)-720-34-68;student-email-36@gmail.com
